S.no,Reviews
1250,A good DTH Alternative
1251,Service
1252,Basically cheats people
1253,Tata sky
1254,"Good service, but did you read the fine print?"
1255,Secondary account Dilemma.
1256,Tata Sky Customer Service
1257,Seems to be a good Choice
1258,After sales service
1259,Secondary account Dilemma.
1260,Secondary account Dilemma.
1261,Servise is bad
1262,Service
1263,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1264,1 Month Experience With Tata Sky
1265,Worst services!!!!!
1266,False information provided by there employees
1267,Pay less watch more no extra charges
1268,The sky finally lands in India...
1269,Worst Service
1270,Hefty Amount charged without acknowledging us
1271,Tata Sky worst Customer Care
1272,Tata sky
1273,Poor Services - Not received right gift yet
1274,Tata Sky Customer Service
1275,Tata Sky worst Customer Care
1276,DONT EVER TAKE TATA SKY!!!
1277,Worst product for ever please don't get fool
1278,Cheater
1279,Worst services!!!!!
1280,Worst product for ever please don't get fool
1281,After sales service
1282,Tata Sky worst Customer Care
1283,Seems to be a good Choice
1284,Pay less watch more no extra charges
1285,1 Month Experience With Tata Sky
1286,Servise is bad
1287,Service
1288,Seems to be a good Choice
1289,After sales service
1290,Worst Service
1291,Best source to be entertained
1292,Tata sky
1293,Tata Sky Customer Service
1294,Secondary account Dilemma.
1295,Tata Sky worst Customer Care
1296,Cheater
1297,Tata Sky now with 2+1 month subscription Free
1298,Worst Service
1299,Tata sky
1300,DONT EVER TAKE TATA SKY!!!
1301,Hefty Amount charged without acknowledging us
1302,Worst serivces
1303,"Good service, but did you read the fine print?"
1304,The sky finally lands in India...
1305,Tata Sky now with 2+1 month subscription Free
1306,DONT EVER TAKE TATA SKY!!!
1307,Tata sky
1308,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1309,Poor Services - Not received right gift yet
1310,"Good service, but did you read the fine print?"
1311,Pay less watch more no extra charges
1312,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1313,1 Month Experience With Tata Sky
1314,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1315,Tata Sky worst Customer Care
1316,Pay less watch more no extra charges
1317,Basically cheats people
1318,Basically cheats people
1319,Cheater
1320,Tata sky
1321,Worst serivces
1322,Satisfied
1323,After sales service
1324,Best source to be entertained
1325,The sky finally lands in India...
1326,Cheater
1327,Servise is bad
1328,DONT EVER TAKE TATA SKY!!!
1329,Good
1330,Poor Services - Not received right gift yet
1331,Servise is bad
1332,Cheater
1333,Basically cheats people
1334,1 Month Experience With Tata Sky
1335,After sales service
1336,Hefty Amount charged without acknowledging us
1337,False information provided by there employees
1338,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1339,Service
1340,Worst Service
1341,A good DTH Alternative
1342,Worst Service
1343,1 Month Experience With Tata Sky
1344,Seems to be a good Choice
1345,Poor Services - Not received right gift yet
1346,Tata Sky now with 2+1 month subscription Free
1347,Poor Services - Not received right gift yet
1348,Tata Sky now with 2+1 month subscription Free
1349,Worst services!!!!!
1350,Service
1351,Worst product for ever please don't get fool
1352,Worst serivces
1353,"Good service, but did you read the fine print?"
1354,False information provided by there employees
1355,Worst serivces
1356,The sky finally lands in India...
1357,"Good service, but did you read the fine print?"
1358,"Good service, but did you read the fine print?"
1359,A good DTH Alternative
1360,Worst serivces
1361,Servise is bad
1362,Pay less watch more no extra charges
1363,"Good service, but did you read the fine print?"
1364,Pay less watch more no extra charges
1365,Servise is bad
1366,Tata Sky Customer Service
1367,Tata Sky now with 2+1 month subscription Free
1368,Hefty Amount charged without acknowledging us
1369,Servise is bad
1370,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1371,Hefty Amount charged without acknowledging us
1372,Basically cheats people
1373,Best source to be entertained
1374,False information provided by there employees
1375,Service
1376,Tata Sky Customer Service
1377,Service
1378,False information provided by there employees
1379,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1380,Worst Service
1381,Worst Service
1382,False information provided by there employees
1383,Basically cheats people
1384,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1385,Worst product for ever please don't get fool
1386,Hefty Amount charged without acknowledging us
1387,Tata sky
1388,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1389,A good DTH Alternative
1390,"WOW,ALL ZEE CHANNELS LAUNCHED..."
1391,Tata Sky now with 2+1 month subscription Free
1392,The sky finally lands in India...
1393,Pay less watch more no extra charges
1394,1 Month Experience With Tata Sky
1395,Hefty Amount charged without acknowledging us
1396,Worst services!!!!!
1397,Tata Sky worst Customer Care
1398,Poor Services - Not received right gift yet
1399,Hefty Amount charged without acknowledging us
1400,Seems to be a good Choice
1401,Best source to be entertained
1402,Secondary account Dilemma.
1403,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1404,Secondary account Dilemma.
1405,DONT EVER TAKE TATA SKY!!!
1406,Tata Sky Customer Service
1407,Tata Sky now with 2+1 month subscription Free
1408,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1409,Service
1410,False information provided by there employees
1411,Worst services!!!!!
1412,A good DTH Alternative
1413,Tata sky
1414,Best source to be entertained
1415,Tata Sky now with 2+1 month subscription Free
1416,Worst serivces
1417,DONT EVER TAKE TATA SKY!!!
1418,Worst product for ever please don't get fool
1419,Worst Service
1420,Worst services!!!!!
1421,Worst product for ever please don't get fool
1422,False information provided by there employees
1423,Secondary account Dilemma.
1424,Tata Sky worst Customer Care
1425,Worst services!!!!!
1426,TATA SKY. (DTH OPERATOR WHO IS MISUSING TATA NAME)
1427,Best source to be entertained
1428,Worst product for ever please don't get fool
1429,A good DTH Alternative
1430,Tata Sky Customer Service
1431,Cheater
1432,Best source to be entertained
1433,Tata Sky now with 2+1 month subscription Free
1434,The sky finally lands in India...
1435,1 Month Experience With Tata Sky
1436,After sales service
1437,The sky finally lands in India...
1438,Hefty Amount charged without acknowledging us
1439,The sky finally lands in India...
1440,Worst product for ever please don't get fool
1441,Pay less watch more no extra charges
1442,Worst serivces
1443,Servise is bad
1444,Seems to be a good Choice
1445,False information provided by there employees
1446,Servise is bad
1447,Tata Sky Customer Service
1448,Free text comments
1449,good plan and great offer good plan and great offer good plan and great offer good plan and great offer
1450,Airtel DTH Service very good.... 1 year pack @ best price. Now i am enjoying the service 24 x 7. Now no need to wait for cable operator if my line was gone......
1451,Excellent one. Having lot of channels and more HD Channels As well.
1452,"Set top box is luk classy,crispy sound with dolby digital,nice purchase But unhappy with airtel installation employee was in hurry ,like he is tata n birla company owner,dont want to give required assets to me contained in installation box Happy from komparify Unhappy from airtel employee"
1453,Good quality video and audio...better than other dth services
1454,No issues as of now. Need to monitor the usage for another 3-6 months
1455,AirTel SD Box is a value for money. And the Offers provided by Komparify are great.
1456,Its good and cool. Got a excellent package for my family containing all the channels which we were expecting.
1457,very nice service ..and also rate of dth is much lower than market price
1458,"very good............ one of the best picture quality. And fast service, it within 1 day i get my DTH."
1459,"I have been using various set top boxex, but I must say that the response time of airtel digital tv is way better than others...."
1460,It is too good..better than tatasky We liked the sports economy pack .....airtel rocks
1461,gave best package compared to other Dth packages...
1462,Immediate set up by after order.it take only 10hrs including night.pleasant shopping with this site.I give 5 star.best site for purchase DTH and other.excellent service.
1463,"Airtel DTH is awesome & reasonable price, picture & sound quality is better than other dth & airtel provide recording set top box on very low price."
1464,"have experienced- Sun DTH, Videocon, Cable TV and now I am using Airtel Digital TV, I felt really good, its the best out of all. I am enjoying movies on HD, which I felt like watching in the theater and no interruptions, the quality is so good, you can't compare with any other."
1465,Nice to see as it has all required service. Quality of signals also have great experience
1466,im very thankful to komparify for their amazing service and amazing price for airtel digital tv.
1467,I have purchased Airtel DTH after a lot of research n responses on Google. A lot of negative response was there but after talking face to face with some of airtel dth customer i come to know that it is very good service provider at all I am using this last two week It is awesome picture quality al9ng with good sound and universal remote Happy with Airtel dth service.
1468,nice working
1469,"Good Quality . Good Performance. Lots of HD channels. Multiperpose Remote, we can use for both TV & Set top box."
1470,"ITS VERY GOOD CLARITY AND VIDEO AND AUDIO IS VERY GOOD AND THIS SET TOP BOX IS VERY GOOD CLARITY AND ITS VERY ESSAY TO BOOK THE ORDER IN KOMPARIFY,COM AND ITS IS VERY CHEAP TO ANOTHER COMPANY'S"
1471,i got it with lower rate than local market. Installation completed speedily.Response is good. I would like to get offers via mail
1472,Mine is SD+ box and i love it. It comes with a universal remote too. Quite easy to use. So far no issues and works very smooth.
1473,Excellent. This set top boxis what i was looking for. It's real masterpiece i got. I am really enjoying. Every thing is just perfect.
1474,I had my previous digital TV whose service was worst but I am very happy with airtel's fast and customer friendly service. I love the service and offers by Airtel.
1475,Airtel hd is best picture quality and sound.unversial remote is very nice.remote is working any direction u show till particular distance.
1476,Excellent Features. Easy to operate. Universal Remote is very good.
1477,GOOD. VERY NICE PRICE.NICE PICTURE. NICE SOUND.LATEST MODEL INSTALLED BY AIR TEL .GOOD .
1478,i have never seen this type of dth in my life because its really gives a full strength of signal and witout fluctuating we are seeing marvellous channel.thanks alot
